sensor_id,datetime_from,datetime_to,timestamp_rollup,value,metric_name,units
26098,2023-08-07T22:00:00Z,2023-08-08T22:00:00Z,daily,12.2,pm10,µg/m³
26098,2023-08-08T22:00:00Z,2023-08-09T22:00:00Z,daily,11.2,pm10,µg/m³
26098,2023-08-09T22:00:00Z,2023-08-10T22:00:00Z,daily,23.8,pm10,µg/m³
26098,2023-08-10T22:00:00Z,2023-08-11T22:00:00Z,daily,20.0,pm10,µg/m³
26098,2023-08-11T22:00:00Z,2023-08-12T22:00:00Z,daily,21.5,pm10,µg/m³
26098,2023-08-12T22:00:00Z,2023-08-13T22:00:00Z,daily,22.5,pm10,µg/m³
26098,2023-08-13T22:00:00Z,2023-08-14T22:00:00Z,daily,33.3,pm10,µg/m³
26098,2023-08-14T22:00:00Z,2023-08-15T22:00:00Z,daily,22.6,pm10,µg/m³
26098,2023-08-15T22:00:00Z,2023-08-16T22:00:00Z,daily,38.8,pm10,µg/m³
26098,2023-08-16T22:00:00Z,2023-08-17T22:00:00Z,daily,33.5,pm10,µg/m³
26098,2023-08-17T22:00:00Z,2023-08-18T22:00:00Z,daily,20.9,pm10,µg/m³
26098,2023-08-23T22:00:00Z,2023-08-24T22:00:00Z,daily,23.7,pm10,µg/m³
26098,2023-08-24T22:00:00Z,2023-08-25T22:00:00Z,daily,35.2,pm10,µg/m³
26098,2023-08-25T22:00:00Z,2023-08-26T22:00:00Z,daily,19.2,pm10,µg/m³
26098,2023-08-26T22:00:00Z,2023-08-27T22:00:00Z,daily,21.2,pm10,µg/m³
26098,2023-08-27T22:00:00Z,2023-08-28T22:00:00Z,daily,18.6,pm10,µg/m³
26098,2023-08-28T22:00:00Z,2023-08-29T22:00:00Z,daily,22.6,pm10,µg/m³
26098,2023-08-29T22:00:00Z,2023-08-30T22:00:00Z,daily,25.3,pm10,µg/m³
26098,2023-08-30T22:00:00Z,2023-08-31T22:00:00Z,daily,12.8,pm10,µg/m³
26098,2023-08-31T22:00:00Z,2023-09-01T22:00:00Z,daily,13.9,pm10,µg/m³
26098,2023-09-01T22:00:00Z,2023-09-02T22:00:00Z,daily,20.9,pm10,µg/m³
26098,2023-09-02T22:00:00Z,2023-09-03T22:00:00Z,daily,18.0,pm10,µg/m³
26098,2023-09-03T22:00:00Z,2023-09-04T22:00:00Z,daily,19.5,pm10,µg/m³
26098,2023-09-04T22:00:00Z,2023-09-05T22:00:00Z,daily,23.3,pm10,µg/m³
26098,2023-09-05T22:00:00Z,2023-09-06T22:00:00Z,daily,30.5,pm10,µg/m³
26098,2023-09-06T22:00:00Z,2023-09-07T22:00:00Z,daily,37.1,pm10,µg/m³
26098,2023-09-07T22:00:00Z,2023-09-08T22:00:00Z,daily,36.4,pm10,µg/m³
26098,2023-09-08T22:00:00Z,2023-09-09T22:00:00Z,daily,50.1,pm10,µg/m³
26098,2023-09-09T22:00:00Z,2023-09-10T22:00:00Z,daily,45.0,pm10,µg/m³
26098,2023-09-10T22:00:00Z,2023-09-11T22:00:00Z,daily,44.1,pm10,µg/m³
26098,2023-09-11T22:00:00Z,2023-09-12T22:00:00Z,daily,54.0,pm10,µg/m³
26098,2023-09-12T22:00:00Z,2023-09-13T22:00:00Z,daily,55.4,pm10,µg/m³
26098,2023-09-13T22:00:00Z,2023-09-14T22:00:00Z,daily,18.6,pm10,µg/m³
26098,2023-09-14T22:00:00Z,2023-09-15T22:00:00Z,daily,14.8,pm10,µg/m³
26098,2023-09-15T22:00:00Z,2023-09-16T22:00:00Z,daily,19.5,pm10,µg/m³
26098,2023-09-16T22:00:00Z,2023-09-17T22:00:00Z,daily,27.8,pm10,µg/m³
26098,2023-09-17T22:00:00Z,2023-09-18T22:00:00Z,daily,24.2,pm10,µg/m³
26098,2023-09-18T22:00:00Z,2023-09-19T22:00:00Z,daily,24.8,pm10,µg/m³
26098,2023-09-19T22:00:00Z,2023-09-20T22:00:00Z,daily,20.3,pm10,µg/m³
26098,2023-09-20T22:00:00Z,2023-09-21T22:00:00Z,daily,20.9,pm10,µg/m³
26098,2023-09-21T22:00:00Z,2023-09-22T22:00:00Z,daily,23.7,pm10,µg/m³
26098,2023-09-22T22:00:00Z,2023-09-23T22:00:00Z,daily,18.5,pm10,µg/m³
26098,2023-09-23T22:00:00Z,2023-09-24T22:00:00Z,daily,11.3,pm10,µg/m³
26098,2023-09-24T22:00:00Z,2023-09-25T22:00:00Z,daily,13.3,pm10,µg/m³
26098,2023-09-25T22:00:00Z,2023-09-26T22:00:00Z,daily,34.3,pm10,µg/m³
26098,2023-09-26T22:00:00Z,2023-09-27T22:00:00Z,daily,50.3,pm10,µg/m³
26098,2023-09-27T22:00:00Z,2023-09-28T22:00:00Z,daily,48.4,pm10,µg/m³
26098,2023-09-28T22:00:00Z,2023-09-29T22:00:00Z,daily,46.5,pm10,µg/m³
26098,2023-09-29T22:00:00Z,2023-09-30T22:00:00Z,daily,24.3,pm10,µg/m³
26098,2023-09-30T22:00:00Z,2023-10-01T22:00:00Z,daily,15.0,pm10,µg/m³
26098,2023-10-01T22:00:00Z,2023-10-02T22:00:00Z,daily,22.6,pm10,µg/m³
26098,2023-10-02T22:00:00Z,2023-10-03T22:00:00Z,daily,23.6,pm10,µg/m³
26098,2023-10-03T22:00:00Z,2023-10-04T22:00:00Z,daily,12.5,pm10,µg/m³
26098,2023-10-04T22:00:00Z,2023-10-05T22:00:00Z,daily,15.7,pm10,µg/m³
26098,2023-10-05T22:00:00Z,2023-10-06T22:00:00Z,daily,16.6,pm10,µg/m³
26098,2023-10-06T22:00:00Z,2023-10-07T22:00:00Z,daily,10.8,pm10,µg/m³
26098,2023-10-07T22:00:00Z,2023-10-08T22:00:00Z,daily,11.6,pm10,µg/m³
26098,2023-10-08T22:00:00Z,2023-10-09T22:00:00Z,daily,18.5,pm10,µg/m³
26098,2023-10-09T22:00:00Z,2023-10-10T22:00:00Z,daily,30.9,pm10,µg/m³
26098,2023-10-10T22:00:00Z,2023-10-11T22:00:00Z,daily,32.4,pm10,µg/m³
26098,2023-10-11T22:00:00Z,2023-10-12T22:00:00Z,daily,21.5,pm10,µg/m³
26098,2023-10-12T22:00:00Z,2023-10-13T22:00:00Z,daily,26.8,pm10,µg/m³
26098,2023-10-13T22:00:00Z,2023-10-14T22:00:00Z,daily,27.4,pm10,µg/m³
26098,2023-10-14T22:00:00Z,2023-10-15T22:00:00Z,daily,10.0,pm10,µg/m³
26098,2023-10-15T22:00:00Z,2023-10-16T22:00:00Z,daily,8.76,pm10,µg/m³
26098,2023-10-26T22:00:00Z,2023-10-27T22:00:00Z,daily,18.4,pm10,µg/m³
26098,2023-10-28T22:00:00Z,2023-10-29T23:00:00Z,daily,25.1,pm10,µg/m³
26098,2023-10-29T23:00:00Z,2023-10-30T23:00:00Z,daily,21.7,pm10,µg/m³
26098,2023-10-30T23:00:00Z,2023-10-31T23:00:00Z,daily,22.2,pm10,µg/m³
26098,2023-10-31T23:00:00Z,2023-11-01T23:00:00Z,daily,6.96,pm10,µg/m³
26098,2023-11-01T23:00:00Z,2023-11-02T23:00:00Z,daily,23.1,pm10,µg/m³
26098,2023-11-02T23:00:00Z,2023-11-03T23:00:00Z,daily,12.0,pm10,µg/m³
26098,2023-11-03T23:00:00Z,2023-11-04T23:00:00Z,daily,9.68,pm10,µg/m³
26098,2023-11-04T23:00:00Z,2023-11-05T23:00:00Z,daily,22.1,pm10,µg/m³
26098,2023-11-05T23:00:00Z,2023-11-06T23:00:00Z,daily,8.95,pm10,µg/m³
26098,2023-11-06T23:00:00Z,2023-11-07T23:00:00Z,daily,15.3,pm10,µg/m³
26098,2023-11-07T23:00:00Z,2023-11-08T23:00:00Z,daily,24.0,pm10,µg/m³
26098,2023-11-08T23:00:00Z,2023-11-09T23:00:00Z,daily,22.7,pm10,µg/m³
26098,2023-11-09T23:00:00Z,2023-11-10T23:00:00Z,daily,20.2,pm10,µg/m³
26098,2023-11-10T23:00:00Z,2023-11-11T23:00:00Z,daily,35.1,pm10,µg/m³
26098,2023-11-11T23:00:00Z,2023-11-12T23:00:00Z,daily,30.2,pm10,µg/m³
26098,2023-11-12T23:00:00Z,2023-11-13T23:00:00Z,daily,25.4,pm10,µg/m³
26098,2023-11-13T23:00:00Z,2023-11-14T23:00:00Z,daily,18.9,pm10,µg/m³
26098,2023-11-14T23:00:00Z,2023-11-15T23:00:00Z,daily,12.7,pm10,µg/m³
26098,2023-11-15T23:00:00Z,2023-11-16T23:00:00Z,daily,28.6,pm10,µg/m³
26098,2023-11-16T23:00:00Z,2023-11-17T23:00:00Z,daily,21.0,pm10,µg/m³
26098,2023-11-17T23:00:00Z,2023-11-18T23:00:00Z,daily,16.9,pm10,µg/m³
26098,2023-11-18T23:00:00Z,2023-11-19T23:00:00Z,daily,25.8,pm10,µg/m³
26098,2023-11-19T23:00:00Z,2023-11-20T23:00:00Z,daily,17.9,pm10,µg/m³
26098,2023-11-20T23:00:00Z,2023-11-21T23:00:00Z,daily,27.2,pm10,µg/m³
26098,2023-11-21T23:00:00Z,2023-11-22T23:00:00Z,daily,23.5,pm10,µg/m³
26098,2023-11-22T23:00:00Z,2023-11-23T23:00:00Z,daily,16.3,pm10,µg/m³
26098,2023-11-23T23:00:00Z,2023-11-24T23:00:00Z,daily,8.4,pm10,µg/m³
26098,2023-11-24T23:00:00Z,2023-11-25T23:00:00Z,daily,7.93,pm10,µg/m³
26098,2023-11-25T23:00:00Z,2023-11-26T23:00:00Z,daily,11.0,pm10,µg/m³
26098,2023-11-26T23:00:00Z,2023-11-27T23:00:00Z,daily,26.7,pm10,µg/m³
26098,2023-11-27T23:00:00Z,2023-11-28T23:00:00Z,daily,42.5,pm10,µg/m³
26098,2023-11-28T23:00:00Z,2023-11-29T23:00:00Z,daily,31.6,pm10,µg/m³
26098,2023-11-29T23:00:00Z,2023-11-30T23:00:00Z,daily,47.8,pm10,µg/m³
26098,2023-11-30T23:00:00Z,2023-12-01T23:00:00Z,daily,57.1,pm10,µg/m³
26098,2023-12-01T23:00:00Z,2023-12-02T23:00:00Z,daily,51.2,pm10,µg/m³
26098,2023-12-02T23:00:00Z,2023-12-03T23:00:00Z,daily,27.9,pm10,µg/m³
26098,2023-12-03T23:00:00Z,2023-12-04T23:00:00Z,daily,33.9,pm10,µg/m³
26098,2023-12-04T23:00:00Z,2023-12-05T23:00:00Z,daily,53.5,pm10,µg/m³
26098,2023-12-05T23:00:00Z,2023-12-06T23:00:00Z,daily,39.7,pm10,µg/m³
26098,2023-12-06T23:00:00Z,2023-12-07T23:00:00Z,daily,35.1,pm10,µg/m³
26098,2023-12-07T23:00:00Z,2023-12-08T23:00:00Z,daily,36.6,pm10,µg/m³
26098,2023-12-08T23:00:00Z,2023-12-09T23:00:00Z,daily,47.9,pm10,µg/m³
26098,2023-12-09T23:00:00Z,2023-12-10T23:00:00Z,daily,43.0,pm10,µg/m³
26098,2023-12-10T23:00:00Z,2023-12-11T23:00:00Z,daily,28.0,pm10,µg/m³
26098,2023-12-11T23:00:00Z,2023-12-12T23:00:00Z,daily,29.2,pm10,µg/m³
26098,2023-12-13T23:00:00Z,2023-12-14T23:00:00Z,daily,24.1,pm10,µg/m³
26098,2023-12-14T23:00:00Z,2023-12-15T23:00:00Z,daily,24.2,pm10,µg/m³
26098,2023-12-15T23:00:00Z,2023-12-16T23:00:00Z,daily,24.1,pm10,µg/m³
26098,2023-12-16T23:00:00Z,2023-12-17T23:00:00Z,daily,23.8,pm10,µg/m³
26098,2023-12-17T23:00:00Z,2023-12-18T23:00:00Z,daily,21.7,pm10,µg/m³
26098,2023-12-18T23:00:00Z,2023-12-19T23:00:00Z,daily,18.5,pm10,µg/m³
26098,2023-12-19T23:00:00Z,2023-12-20T23:00:00Z,daily,14.5,pm10,µg/m³
26098,2023-12-20T23:00:00Z,2023-12-21T23:00:00Z,daily,9.02,pm10,µg/m³
26098,2023-12-21T23:00:00Z,2023-12-22T23:00:00Z,daily,6.85,pm10,µg/m³
26098,2023-12-23T23:00:00Z,2023-12-24T23:00:00Z,daily,6.9,pm10,µg/m³
26098,2023-12-24T23:00:00Z,2023-12-25T23:00:00Z,daily,4.88,pm10,µg/m³
26098,2023-12-25T23:00:00Z,2023-12-26T23:00:00Z,daily,6.5,pm10,µg/m³
26098,2023-12-26T23:00:00Z,2023-12-27T23:00:00Z,daily,16.4,pm10,µg/m³
26098,2023-12-27T23:00:00Z,2023-12-28T23:00:00Z,daily,20.5,pm10,µg/m³
